Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Relaxin signaling pathway	4/129	4.712209e-06	1.776140e-05	0	0	4.538743e+01	5.566929e+02	PIK3CA;KRAS;MMP9;VEGFA
KEGG_2021_Human	MAPK signaling pathway	5/294	4.858656e-06	1.785556e-05	0	0	2.620841e+01	3.206533e+02	MYC;BRAF;KRAS;TP53;VEGFA
KEGG_2021_Human	Fluid shear stress and atherosclerosis	4/139	6.338209e-06	2.272480e-05	0	0	4.200423e+01	5.027451e+02	PIK3CA;MMP9;TP53;VEGFA
KEGG_2021_Human	Hippo signaling pathway	4/163	1.190171e-05	4.165600e-05	0	0	3.562084e+01	4.038986e+02	SMAD4;APC;CCND1;MYC
KEGG_2021_Human	VEGF signaling pathway	3/59	1.928006e-05	6.591091e-05	0	0	7.116429e+01	7.725907e+02	PIK3CA;KRAS;VEGFA
KEGG_2021_Human	Focal adhesion	4/201	2.712897e-05	9.012262e-05	0	0	2.869471e+01	3.017222e+02	PIK3CA;CCND1;BRAF;VEGFA
KEGG_2021_Human	Epstein-Barr virus infection	4/202	2.766148e-05	9.012262e-05	0	0	2.854834e+01	2.996282e+02	PIK3CA;CCND1;MYC;TP53
KEGG_2021_Human	Viral carcinogenesis	4/203	2.820164e-05	9.012262e-05	0	0	2.840345e+01	2.975582e+02	PIK3CA;CCND1;KRAS;TP53
KEGG_2021_Human	Rap1 signaling pathway	4/210	3.220263e-05	9.880961e-05	0	0	2.742857e+01	2.837064e+02	PIK3CA;BRAF;KRAS;VEGFA
KEGG_2021_Human	Prolactin signaling pathway	3/70	3.226436e-05	9.880961e-05	0	0	5.944776e+01	6.147818e+02	PIK3CA;CCND1;KRAS
KEGG_2021_Human	Lipid and atherosclerosis	4/215	3.530522e-05	1.059157e-04	0	0	2.677183e+01	2.744509e+02	PIK3CA;KRAS;MMP9;TP53
KEGG_2021_Human	Regulation of actin cytoskeleton	4/218	3.726895e-05	1.095707e-04	0	0	2.639252e+01	2.691338e+02	PIK3CA;APC;BRAF;KRAS
KEGG_2021_Human	Progesterone-mediated oocyte maturation	3/100	9.371291e-05	2.701137e-04	0	0	4.100000e+01	3.802863e+02	PIK3CA;BRAF;KRAS
KEGG_2021_Human	Longevity regulating pathway	3/102	9.939649e-05	2.809862e-04	0	0	4.016768e+01	3.702011e+02	PIK3CA;KRAS;TP53
KEGG_2021_Human	Sphingolipid signaling pathway	3/119	1.570039e-04	4.354636e-04	0	0	3.425172e+01	3.000191e+02	PIK3CA;KRAS;TP53
KEGG_2021_Human	Mismatch repair	2/23	1.913920e-04	5.210117e-04	0	0	1.188155e+02	1.017201e+03	MSH2;MLH1
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	3/131	2.085295e-04	5.573424e-04	0	0	3.102188e+01	2.629237e+02	PIK3CA;BRAF;KRAS
KEGG_2021_Human	Apelin signaling pathway	3/137	2.379524e-04	6.030862e-04	0	0	2.962388e+01	2.471651e+02	SMAD4;CCND1;KRAS
KEGG_2021_Human	Estrogen signaling pathway	3/137	2.379524e-04	6.030862e-04	0	0	2.962388e+01	2.471651e+02	PIK3CA;KRAS;MMP9
KEGG_2021_Human	Insulin signaling pathway	3/137	2.379524e-04	6.030862e-04	0	0	2.962388e+01	2.471651e+02	PIK3CA;BRAF;KRAS
KEGG_2021_Human	Measles	3/139	2.483262e-04	6.187110e-04	0	0	2.918529e+01	2.422603e+02	PIK3CA;CCND1;TP53
KEGG_2021_Human	Apoptosis	3/142	2.644298e-04	6.478530e-04	0	0	2.855108e+01	2.352019e+02	PIK3CA;KRAS;TP53
KEGG_2021_Human	Alzheimer disease	4/369	2.842094e-04	6.848981e-04	0	0	1.535577e+01	1.253922e+02	PIK3CA;APC;BRAF;KRAS
KEGG_2021_Human	mTOR signaling pathway	3/154	3.355814e-04	7.956527e-04	0	0	2.626623e+01	2.101205e+02	PIK3CA;BRAF;KRAS
KEGG_2021_Human	Cushing syndrome	3/155	3.420122e-04	7.980284e-04	0	0	2.609211e+01	2.082323e+02	APC;CCND1;BRAF
KEGG_2021_Human	JAK-STAT signaling pathway	3/162	3.892672e-04	8.940980e-04	0	0	2.493459e+01	1.957676e+02	PIK3CA;CCND1;MYC
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	2/37	5.000800e-04	1.130950e-03	0	0	7.123929e+01	5.414715e+02	PIK3CA;KRAS
